193 -44 31
194 -45 104
195 -46 -79
196 -47 -6
197 -48 67
198 -49 -116
199 -50 -43
200 -51 30
201 -52 103
202 -53 -80
203 -54 -7
204 -55 66
205 -56 -117
206 -57 -44
207 -58 29
208 -59 102
209 -60 -81
210 -61 -8
211 -62 65
212 -63 -118
213 -64 -45
214 -65 28
215 -66 101
216 -67 -82
217 -68 -9
218 -69 64
219 -70 -119
220 -71 -46
221 -72 27
222 -73 100
223 -74 -83
224 -75 -10
225 -74 63
226 -73 116
227 -72 -105
228 -71 -24
229 -70 -87
230 -69 -24
231 -68 -105
232 -67 116
233 -66 63
234 -65 -10
235 -64 -83
236 -63 100
237 -62 27
238 -61 -46
239 -60 -119
240 -59 64
241 -58 -9
242 -57 -82
243 -56 101
244 -55 28
245 -54 -45
246 -53 -118
247 -52 65
248 -51 -8
249 -50 -81
250 -49 102
251 -48 29
252 -47 -44
253 -46 -117
254 -45 66
255 -44 -7
256 -43 -80
257 -42 103
258 -41 30
259 -40 -43
260 -39 -116
261 -38 67
262 -37 -6
263 -36 -79
264 -35 104
265 -34 31
266 -33 -42
267 -32 -115
268 -31 68
269 -30 -5
270 -29 -78
271 -28 105
272 -27 32
273 -26 -41
274 -25 -114
275 -24 69
276 -23 -4
277 -22 -77
278 -21 106
279 -20 33
280 -19 -40
281 -18 -113
282 -17 70
283 -16 -3
284 -15 -76
285 -14 107
286 -13 34
287 -12 -39
288 -11 -112
289 -10 71
290 -9 -2
291 -8 -75
292 -7 108
293 -6 35
294 -5 -38
295 -4 -111
296 -3 72
297 -2 -1
298 -1 -74
299 0 109
300 1 36
301 2 -37
302 3 -110
303 4 73
304 5 0
305 6 -73
306 7 110
307 8 37
308 9 -36
309 10 -109
310 11 74
311 12 1
312 13 -72
313 14 111
314 15 38
315 16 -35
316 17 -108
317 18 75
318 19 2
319 20 -71
320 21 112
321 22 39
322 23 -34
323 24 -107
324 25 76
325 26 3
326 27 -70
327 28 113
328 29 40
329 30 -33
330 31 -106
331 32 77
332 33 4
333 34 -69
334 35 114
335 36 41
336 37 -32
337 38 -105
338 39 78
339 40 5
340 41 -68
341 42 115
342 43 42
343 44 -31
344 45 -104
345 46 79
346 47 6
347 48 -67
348 49 116
349 50 43
350 51 -30
351 52 -103
352 53 80
353 54 7
354 55 -66
355 56 117
356 57 44
357 58 -29
358 59 -102
359 60 81
360 61 8
361 62 -65
362 63 118
363 64 45
364 65 -28
365 66 -101
366 67 82
367 68 9
368 69 -64
369 70 119
370 71 46
371 72 -27
372 73 -100
373 74 83
374 75 10
375 74 -63
376 73 -116
377 72 105
378 71 24
379 70 87
380 69 24
381 68 105
382 67 -116
383 66 -63
384 65 10
385 64 83
386 63 -100
387 62 -27
388 61 46
389 60 119
390 59 -64
391 58 9
392 57 82
393 56 -101
394 55 -28
395 54 45
396 53 118
397 52 -65
398 51 8
399 50 81
400 49 -102
401 48 -29
402 47 44
403 46 117
404 45 -66
405 44 7
406 43 80
407 42 -103
408 41 -30
409 40 43
410 39 116
411 38 -67
412 37 6
413 36 79
414 35 -104
415 34 -31
416 33 42
417 32 115
418 31 -68
419 30 5
420 29 78
421 28 -105
422 27 -32
423 26 41
424 25 114
425 24 -69
426 23 4
427 22 77
428 21 -106
429 20 -33
430 19 40
431 18 113
432 17 -70
433 16 3
434 15 76
435 14 -107
436 13 -34
437 12 39
438 11 112
439 10 -71
440 9 2
441 8 75
442 7 -108
443 6 -35
444 5 38
445 4 111
446 3 -72
447 2 1
448 1 74
449 0 -109
450 -1 -36
451 -2 37
452 -3 110
453 -4 -73
454 -5 0
455 -6 73
456 -7 -110
457 -8 -37
458 -9 36
459 -10 109
460 -11 -74
461 -12 -1
462 -13 72
463 -14 -111
464 -15 -38
465 -16 35
466 -17 108
467 -18 -75
468 -19 -2
469 -20 71
470 -21 -112
471 -22 -39
472 -23 34
473 -24 107
474 -25 -76
475 -26 -3
476 -27 70
477 -28 -113
478 -29 -40
479 -30 33
480 -31 106
481 -32 -77
482 -33 -4
483 -34 69
484 -35 -114
485 -36 -41
486 -37 32
487 -38 105
488 -39 -78
489 -40 -5
490 -41 68
491 -42 -115
492 -43 -42
493 -44 31
494 -45 104
495 -46 -79
496 -47 -6
497 -48 67
498 -49 -116
499 -50 -43
500 -51 30
501 -52 103
502 -53 -80
503 -54 -7
504 -55 66
505 -56 -117
506 -57 -44
507 -58 29
508 -59 102
509 -60 -81
510 -61 -8
511 -62 65
512 -63 -118
513 -64 -45
514 -65 28
515 -66 101
516 -67 -82
517 -68 -9
518 -69 64
519 -70 -119
520 -71 -46
521 -72 27
522 -73 100
523 -74 -83
524 -75 -10
525 -74 63
526 -73 116
527 -72 -105
528 -71 -24
529 -70 -87
530 -69 -24
531 -68 -105
532 -67 116
533 -66 63
534 -65 -10
535 -64 -83
536 -63 100
537 -62 27
538 -61 -46
539 -60 -119
540 -59 64
541 -58 -9
542 -57 -82
543 -56 101
544 -55 28
545 -54 -45
546 -53 -118
547 -52 65
548 -51 -8
549 -50 -81
550 -49 102
551 -48 29
552 -47 -44
553 -46 -117
554 -45 66
555 -44 -7
556 -43 -80
557 -42 103
558 -41 30
559 -40 -43
560 -39 -116
561 -38 67
562 -37 -6
563 -36 -79
564 -35 104
565 -34 31
566 -33 -42
567 -32 -115
568 -31 68
569 -30 -5
570 -29 -78
571 -28 105
572 -27 32
573 -26 -41
574 -25 -114
575 -24 69
576 -23 -4
577 -22 -77
578 -21 106
579 -20 33
580 -19 -40
581 -18 -113
582 -17 70
583 -16 -3
584 -15 -76
585 -14 107
586 -13 34
587 -12 -39
588 -11 -112
589 -10 71
590 -9 -2
591 -8 -75
592 -7 108
593 -6 35
594 -5 -38
595 -4 -111
596 -3 72
597 -2 -1
598 -1 -74
599 0 109
600 1 36
